location,information,sales_price
Osmangazi - İstiklal Mahallesi,Daire | 3+1 | 11. Kat | 364 m²,48.000 TL
Osmangazi - Muradiye Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,13.500 TL
Osmangazi - Muradiye Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,13.500 TL
Nilüfer - Beşevler Mahallesi,Daire | 3+1 | Yüksek giriş | 140 m²,18.000 TL
Osmangazi - Hürriyet Mahallesi,Daire | 2+1 | Bahçe katı | 80 m²,9.000 TL
Osmangazi - Selimiye Mahallesi,Daire | 3+1 | 4. Kat | 100 m²,13.000 TL
Osmangazi - Altıparmak Mahallesi,Daire | 1+1 | 5. Kat | 90 m²,15.000 TL
Osmangazi - Çırpan Mahallesi,Daire | 3+1 | 4. Kat | 115 m²,15.000 TL
Mudanya - Güzelyalı Burgaz Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,22.000 TL
Nilüfer - Ahmet Yesevi Mahallesi,Daire | 1+1 | 14. Kat | 71 m²,30.000 TL
Osmangazi - Emek Fatih Sultan Mehmet Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,32.000 TL
Nilüfer - Esentepe Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,27.000 TL
Osmangazi - Yunuseli Mahallesi,Daire | 4+1 | 5. Kat | 250 m²,30.500 TL
Mudanya - Güzelyalı Yalı Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,21.000 TL
Yıldırım - Mevlana Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,24.750 TL
Nilüfer - Görükle Mahallesi,Daire | 1+1 | 1. Kat | 45 m²,11.000 TL
Osmangazi - Maksem Mahallesi,Daire | 3+1 | 4. Kat | 120 m²,23.000 TL
Nilüfer - Görükle Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,12.500 TL
Mudanya - Güzelyalı Yalı Mahallesi,Daire | 1+1 | 3. Kat | 45 m²,25.000 TL
Nilüfer - Görükle Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 55 m²,11.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 3. Kat | 75 m²,15.000 TL
Osmangazi - Ulu Mahallesi,Daire | 2+1 | 5. Kat | 100 m²,14.000 TL
Osmangazi - Santral Garaj Mahallesi,Daire | 1+1 | 1. Kat | 80 m²,13.500 TL
Osmangazi - Çırpan Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,15.000 TL
Nilüfer - Ertuğrul Mahallesi,Daire | 2+1 | 3. Kat | 130 m²,43.000 TL
Osmangazi - Koğukçınar Mahallesi,Daire | 3+1 | 3. Kat | 128 m²,14.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 3. Kat | 120 m²,18.000 TL
Yıldırım - Yıldırım Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,18.000 TL
Osmangazi - Yahşibey Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,16.000 TL
Nilüfer - Konak Mahallesi,Daire | 2+1 | Bahçe katı | 100 m²,15.000 TL
Mudanya - Halitpaşa Mahallesi,Daire | 4+1 | 2. Kat | 290 m²,50.500 TL
Nilüfer - Çalı Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,13.000 TL
Yıldırım - Hocataşkın Mahallesi,Daire | Stüdyo | Düz Giriş (Zemin) | 60 m²,10.000 TL
Osmangazi - İstiklal Mahallesi,Daire | 2+1 | 9. Kat | 221 m²,43.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 3. Kat | 60 m²,16.750 TL
Nilüfer - Görükle Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,11.500 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 3. Kat | 70 m²,15.500 TL
Nilüfer - Görükle Mahallesi,Daire | 1+1 | 4. Kat | 70 m²,16.500 TL
Osmangazi - İbrahimpaşa Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,15.000 TL17.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 75 m²,15.000 TL
Nilüfer - Görükle Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,18.000 TL
Gemlik - Cumhuriyet Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,19.000 TL
Gemlik - Cumhuriyet Mahallesi,Daire | 3+1 | 1. Kat | 135 m²,14.500 TL
Osmangazi - Maksem Mahallesi,Daire | 2+1 | 2. Kat | 85 m²,14.000 TL15.000 TL
Gemlik - Orhaniye Mahallesi,Daire | 2+1 | Bahçe katı | 75 m²,8.000 TL
Yıldırım - Karaağaç Mahallesi,Daire | 2+1 | 5. Kat | 85 m²,13.000 TL
Osmangazi - Kükürtlü Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,20.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 2. Kat | 60 m²,15.000 TL
Osmangazi - Demirtaş Cumhuriyet Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,20.000 TL
Yıldırım - Vakıf Mahallesi,Daire | 2+1 | 1. Kat | 150 m²,15.000 TL
Osmangazi - Doğanbey Mahallesi,Daire | 2+1 | 11. Kat | 100 m²,25.000 TL
Orhangazi - Tekke Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,16.500 TL
Osmangazi - Çekirge Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 125 m²,19.000 TL
Nilüfer - 30 Ağustos Zafer Mahallesi,Daire | 3+1 | 3. Kat | 160 m²,27.000 TL
Yıldırım - Millet Mahallesi,Daire | 3+1 | 3. Kat | 155 m²,41.000 TL
Nilüfer - Görükle Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,12.500 TL
Nilüfer - Görükle Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,12.999 TL
Yıldırım - Kurtoğlu Mahallesi,Daire | 2+1 | 1. Kat | 80 m²,11.500 TL
Gemlik - Kumla Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,15.000 TL
Yıldırım - Namazgah Mahallesi,Daire | 2+1 | 5. Kat | 110 m²,18.000 TL
Yıldırım - Mollaarap Mahallesi,Daire | 2+1 | 1. Kat | 75 m²,12.000 TL
Mustafakemalpaşa - Çırpan Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,12.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,13.500 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 3+1 | 5. Kat | 90 m²,18.000 TL
Nilüfer - Dumlupınar Mahallesi,Daire | 2+1 | 3. Kat | 60 m²,16.000 TL
