location,information,sales_price
Çerkezköy - İstasyon Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,13.000 TL
Çorlu - Şeyh Sinan Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,35.000 TL
Çerkezköy - İstasyon Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,15.000 TL
Kapaklı - Bahçelievler Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,13.000 TL
Çorlu - Hatip Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,17.000 TL
Çerkezköy - Cumhuriyet Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,16.500 TL
Süleymanpaşa - Altınova Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,25.000 TL
Çorlu - Reşadiye Mahallesi,Daire | 3+1 | 3. Kat | 115 m²,15.000 TL
Çerkezköy - İstasyon Mahallesi,Daire | 4+2 | 5. Kat | 250 m²,25.000 TL30.000 TL
Kapaklı - İnönü Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,12.000 TL
