location,information,sales_price
Ortahisar - Üniversite Mahallesi,Daire | 3+1 | 2. Kat | 140 m²,18.000 TL
Ortahisar - Kalkınma Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 115 m²,8.500 TL
Ortahisar - Kalkınma Mahallesi,Daire | 3+1 | 3. Kat | 165 m²,25.000 TL
Yomra - Gürsel Mahallesi,Daire | 2+1 | 6. Kat | 100 m²,19.000 TL
Ortahisar - Toklu Mahallesi,Daire | 3+1 | 4. Kat | 140 m²,24.000 TL
Ortahisar - 1 Nolu Beşirli Mahallesi,Daire | 3+1 | 9. Kat | 165 m²,20.000 TL
Ortahisar - 2 Nolu Beşirli Mahallesi,Daire | 4+1 | 4. Kat | 190 m²,25.000 TL
Vakfıkebir - Büyükliman Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,10.000 TL
Ortahisar - Yalıncak Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,13.500 TL15.500 TL
Ortahisar - 3 Nolu Erdoğdu Mahallesi,Daire | 2+1 | Bahçe katı | 90 m²,21.000 TL
Araklı - Hürriyet Mahallesi,Daire | 3+1 | 6. Kat | 150 m²,15.000 TL
Beşikdüzü - Cumhuriyet Mahallesi,Daire | 3+1 | 4. Kat | 100 m²,20.000 TL
Ortahisar - Cumhuriyet Mahallesi,Daire | 4+1 | 4. Kat | 125 m²,16.500 TL
Ortahisar - Kalkınma Mahallesi,Daire | 1+1 | 4. Kat | 45 m²,10.500 TL
Ortahisar - Kalkınma Mahallesi,Daire | 2+1 | 2. Kat | 75 m²,18.000 TL
Ortahisar - Konaklar Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,20.000 TL
Ortahisar - İskenderpaşa Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,20.000 TL
Yomra - Sancak Mahallesi,Daire | 3+1 | 7. Kat | 130 m²,13.000 TL
Ortahisar - Gülbaharhatun Mahallesi,Daire | 2+1 | 2. Kat | 115 m²,16.000 TL
Ortahisar - Yalıncak Mahallesi,Daire | 2+1 | 2. Kat | 115 m²,20.000 TL
Ortahisar - Kemerkaya Mahallesi,Daire | 2+1 | Çatı katı | 70 m²,12.500 TL
Ortahisar - Pelitli Mahallesi,Daire | 2+1 | 2. Kat | 70 m²,15.000 TL
Akçaabat - Sarıtaş Mahallesi,Daire | 2+1 | 4. Kat | 85 m²,11.000 TL
Ortahisar - Kalkınma Mahallesi,Daire | 2+1 | 4. Kat | 110 m²,14.000 TL
Ortahisar - Pelitli Mahallesi,Daire | 3+1 | 1. Kat | 145 m²,11.000 TL
Ortahisar - 2 Nolu Beşirli Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,10.000 TL
Ortahisar - 2 Nolu Beşirli Mahallesi,Daire | 3+1 | 2. Kat | 135 m²,13.000 TL
Ortahisar - 1 Nolu Bostancı Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,14.000 TL
Ortahisar - Çömlekçi Mahallesi,Daire | 4.5+1 | 2. Kat | 210 m²,55.000 TL60.000 TL
Ortahisar - Konaklar Mahallesi,Daire | 1+1 | 2. Kat | 45 m²,15.000 TL
Ortahisar - 1 Nolu Bostancı Mahallesi,Daire | 1+1 | 5. Kat | 70 m²,18.500 TL
Ortahisar - 3 Nolu Erdoğdu Mahallesi,Daire | 2+1 | 3. Kat | 95 m²,13.500 TL
Ortahisar - Kalkınma Mahallesi,Daire | Stüdyo | 2. Kat | 40 m²,14.000 TL
Ortahisar - Kalkınma Mahallesi,Daire | 3+1 | 2. Kat | 155 m²,22.000 TL
Ortahisar - Üniversite Mahallesi,Daire | 3+1 | 5. Kat | 120 m²,17.000 TL
Ortahisar - Cumhuriyet Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,8.000 TL9.000 TL
Ortahisar - Boztepe Mahallesi,Daire | 2+1 | 5. Kat | 110 m²,15.000 TL
Ortahisar - Üniversite Mahallesi,Daire | 2+1 | 5. Kat | 110 m²,18.000 TL
Sürmene - Çavuşlu Mahallesi,Daire | 3+1 | 1. Kat | 135 m²,12.000 TL
Ortahisar - Üniversite Mahallesi,Daire | 1+1 | 5. Kat | 65 m²,20.000 TL
Ortahisar - Soğuksu Mahallesi,Daire | 1+1 | 4. Kat | 62 m²,25.000 TL
Akçaabat - Yıldızlı Mahallesi,Daire | 2+1 | 2. Kat | 95 m²,8.500 TL9.500 TL
Ortahisar - Konaklar Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,17.000 TL
Ortahisar - Kemerkaya Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,22.500 TL25.000 TL
Akçaabat - Yıldızlı Mahallesi,Daire | 3+1 | 1. Kat | 170 m²,35.000 TL
Ortahisar - Üniversite Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,15.000 TL
Ortahisar - Üniversite Mahallesi,Daire | 1+1 | 5. Kat | 55 m²,16.000 TL
Ortahisar - Üniversite Mahallesi,Daire | 1+1 | 6. Kat | 55 m²,17.000 TL
Ortahisar - Gazipaşa Mahallesi,Daire | 2+1 | Yüksek giriş | 120 m²,12.000 TL
Ortahisar - Sanayi Mahallesi,Daire | Stüdyo | 2. Kat | 50 m²,11.000 TL
Akçaabat - Söğütlü Mahallesi,Daire | 3+1 | Kot 2 (-2). Kat | 200 m²,30.000 TL35.000 TL
Ortahisar - Yalıncak Mahallesi,Daire | 4+1 | 10. Kat | 200 m²,30.000 TL
Ortahisar - Üniversite Mahallesi,Daire | 3+0 | Kot 1 (-1). Kat | 110 m²,8.000 TL
Ortahisar - Pelitli Mahallesi,Daire | 1 Oda | Çatı katı | 30 m²,13.000 TL
Ortahisar - Kalkınma Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,20.000 TL
