location,information,sales_price
Turgutlu - Ergenekon Mahallesi,Daire | 3+1 | Düz Giriş (Zemin) | 130 m²,19.000 TL
Turgutlu - Ergenekon Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,20.000 TL
Turgutlu - Ergenekon Mahallesi,Daire | 2+1 | 4. Kat | 85 m²,18.500 TL
Akhisar - Hürriyet Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,20.000 TL
Akhisar - Atatürk Mahallesi,Daire | 2+1 | 3. Kat | 115 m²,18.000 TL
Yunusemre - Muradiye Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,17.000 TL
Turgutlu - Cumhuriyet Mahallesi,Daire | 3+1 | 4. Kat | 125 m²,15.500 TL18.500 TL
Soma - Kurtuluş Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,13.000 TL
Yunusemre - Ayni Ali Mahallesi,Daire | 2+1 | Yüksek giriş | 110 m²,37.000 TL
Alaşehir - Kurtuluş Mahallesi,Daire | 2+1 | 4. Kat | 100 m²,15.000 TL
Alaşehir - Hacıbey Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,18.000 TL
Soma - Atatürk Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,15.000 TL
Soma - Atatürk Mahallesi,Daire | 3+1 | 1. Kat | 125 m²,20.000 TL
Saruhanlı - Saruhan Mahallesi,Daire | 1+1 | 4. Kat | 55 m²,12.000 TL
Şehzadeler - Tunca Mahallesi,Daire | 2+1 | 4. Kat | 135 m²,27.000 TL
Salihli - Cumhuriyet Mahallesi,Daire | 3+1 | 3. Kat | 125 m²,14.750 TL
Akhisar - Hürriyet Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,32.500 TL
