location,information,sales_price
Ayvalık - Küçükköy Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 70 m²,30.000 TL
Bandırma - Levent Mahallesi,Daire | 2+0 | 2. Kat | 70 m²,20.000 TL
Karesi - Atatürk Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,20.000 TL
Altıeylül - Bahçelievler Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,19.000 TL
Bandırma - Paşamescit Mahallesi,Daire | 2+0 | 3. Kat | 70 m²,13.000 TL
Ayvalık - Altınova Mahallesi,Daire | 2+1 | Bahçe katı | 90 m²,30.000 TL
Bandırma - Dere Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,25.000 TL
Altıeylül - Bahçelievler Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,22.000 TL
Altıeylül - Gaziosmanpaşa Mahallesi,Daire | 1+1 | Yüksek giriş | 50 m²,16.750 TL
Edremit - Eroğlan Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,17.500 TL
Burhaniye - Kocacami Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,25.000 TL
Gönen - Rüstem Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,16.000 TL
Bandırma - Yeni Mahallesi,Daire | 1+1 | 2. Kat | 48 m²,15.000 TL
Gönen - Rüstem Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,16.000 TL
Bandırma - Yeni Mahallesi,Daire | 1+1 | 2. Kat | 48 m²,15.000 TL
Burhaniye - Bahçelievler Mahallesi,Daire | 3+1 | 2. Kat | 125 m²,35.000 TL
Bandırma - Sunullah Mahallesi,Daire | 2+1 | 1. Kat | 105 m²,22.000 TL
Edremit - Camivasat Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,16.000 TL
Bandırma - 17 Eylül Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,25.000 TL
