location,information,sales_price
Yenişehir - Çiftlikköy Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,16.250 TL
Mezitli - Akdeniz Mahallesi,Daire | 4+1 | 6. Kat | 200 m²,35.000 TL
Mezitli - 75. Yıl Mahallesi,Daire | 2+1 | 4. Kat | 85 m²,20.000 TL
Mezitli - Akdeniz Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,26.000 TL
Yenişehir - Çiftlikköy Mahallesi,Daire | 1+1 | 11. Kat | 90 m²,22.500 TL27.000 TL
Tarsus - Öğretmenler Mahallesi,Daire | 2+1 | Yüksek giriş | 95 m²,14.000 TL
Mezitli - Menderes Mahallesi,Daire | 3+1 | 10. Kat | 125 m²,30.000 TL
Erdemli - Alata Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,18.000 TL
Mezitli - Fatih Mahallesi,Daire | 3+1 | 4. Kat | 135 m²,17.500 TL
Yenişehir - Güvenevler Mahallesi,Daire | 3+1 | 2. Kat | 150 m²,35.000 TL
Mezitli - Davultepe Mahallesi,Daire | 3+1 | 3. Kat | 150 m²,20.000 TL
Yenişehir - Çiftlikköy Mahallesi,Daire | 2+1 | 7. Kat | 160 m²,36.500 TL
Yenişehir - Cumhuriyet Mahallesi,Daire | 2+1 | Kot 4 (-4). Kat | 95 m²,19.000 TL
Yenişehir - Güvenevler Mahallesi,Daire | 1+1 | 3. Kat | 60 m²,228.000 TL
Yenişehir - Limonluk Mahallesi,Daire | 4+1 | 8. Kat | 250 m²,35.000 TL
Akdeniz - Cami Şerif Mahallesi,Daire | 2+1 | 1. Kat | 110 m²,11.000 TL
Yenişehir - Fuatmorel Mahallesi,Daire | 1+1 | 5. Kat | 55 m²,21.000 TL
Yenişehir - Akkent Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,20.250 TL
Yenişehir - Bahçelievler Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 60 m²,15.500 TL
Yenişehir - Batıkent Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,16.000 TL
Mezitli - Akdeniz Mahallesi,Daire | 4+1 | 10. Kat | 215 m²,32.500 TL
Yenişehir - İnönü Mahallesi,Daire | 3+1 | 1. Kat | 195 m²,19.000 TL
Mezitli - Cumhuriyet Mahallesi,Daire | 1+1 | 1. Kat | 90 m²,15.000 TL
Erdemli - Arpaçbahşiş Mahallesi,Daire | 1+1 | 4. Kat | 75 m²,16.000 TL
Yenişehir - Batıkent Mahallesi,Daire | 3+1 | 1. Kat | 135 m²,14.500 TL
Yenişehir - Batıkent Mahallesi,Daire | 1+1 | 1. Kat | 80 m²,15.000 TL
Mezitli - Eski Mezitli Mahallesi,Daire | 4+1 | 5. Kat | 200 m²,33.000 TL
Mezitli - Tece Mahallesi,Daire | 1+1 | 9. Kat | 62 m²,19.000 TL
Yenişehir - Çiftlikköy Mahallesi,Daire | 1+1 | 2. Kat | 99 m²,25.000 TL
Silifke - Göksu Mahallesi,Daire | 4+1 | 2. Kat | 210 m²,30.000 TL
Mezitli - Akdeniz Mahallesi,Daire | 3+1 | 4. Kat | 155 m²,30.000 TL
Yenişehir - Çiftlikköy Mahallesi,Daire | 2+1 | 10. Kat | 110 m²,32.000 TL
Tarsus - Şehitmustafa Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,19.000 TL
Yenişehir - Çiftlikköy Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,21.000 TL
Bozyazı - Denizciler Mahallesi,Daire | 2+1 | 2. Kat | 120 m²,15.000 TL
Silifke - Gazi Mahallesi,Daire | 1+1 | Yüksek giriş | 50 m²,18.000 TL
Mezitli - Tece Mahallesi,Daire | 3+1 | 4. Kat | 170 m²,30.000 TL
Erdemli - Kocahasanlı Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,15.000 TL
Mezitli - Akdeniz Mahallesi,Daire | 3+1 | 4. Kat | 155 m²,30.000 TL
Mezitli - Davultepe Mahallesi,Daire | 1+1 | 2. Kat | 60 m²,13.000 TL
Erdemli - Alata Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,12.000 TL
Erdemli - Kocahasanlı Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,15.000 TL
Mezitli - Yeni Mahallesi,Daire | 2+1 | 5. Kat | 84 m²,20.000 TL
Yenişehir - Batıkent Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,15.000 TL
