location,information,sales_price
Merkezefendi - Adalet Mahallesi,Daire | 3+1 | 3. Kat | 200 m²,29.500 TL
Pamukkale - Kınıklı Mahallesi,Daire | 2+1 | 4. Kat | 140 m²,16.000 TL
Pamukkale - Aktepe Mahallesi,Daire | 2+1 | 3. Kat | 115 m²,17.500 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 1+1 | Çatı katı | 55 m²,14.000 TL
Merkezefendi - Selçuk Bey Mahallesi,Daire | 5+2 | 2. Kat | 250 m²,35.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 1+1 | 3. Kat | 50 m²,12.000 TL
Pamukkale - Yunusemre Mahallesi,Daire | 2+1 | 2. Kat | 160 m²,20.000 TL
Pamukkale - Pınarkent Mahallesi,Daire | 3+1 | 2. Kat | 145 m²,12.500 TL13.500 TL
Merkezefendi - Gültepe Mahallesi,Daire | 3+1 | 1. Kat | 125 m²,20.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 1+1 | Yüksek giriş | 55 m²,15.000 TL
Merkezefendi - Bereketler Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,15.000 TL
Pamukkale - Zümrüt Mahallesi,Daire | 1.5+1 | Bahçe katı | 60 m²,10.000 TL
Merkezefendi - Yenişafak Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,20.000 TL
Merkezefendi - Değirmenönü Mahallesi,Daire | 2+1 | 2. Kat | 130 m²,20.000 TL
Pamukkale - Yunusemre Mahallesi,Daire | 2+1 | Yüksek giriş | 100 m²,16.000 TL
Pamukkale - Yunusemre Mahallesi,Daire | 2+1 | 4. Kat | 70 m²,16.000 TL
Pamukkale - Siteler Mahallesi,Daire | 1+1 | 2. Kat | 48 m²,12.000 TL
Pamukkale - Kınıklı Mahallesi,Daire | 2+1 | Bahçe katı | 65 m²,15.000 TL
Pamukkale - Siteler Mahallesi,Daire | 3+1 | 1. Kat | 160 m²,14.000 TL
Pamukkale - Asmalıevler Mahallesi,Daire | Stüdyo | 4. Kat | 30 m²,7.500 TL
Pamukkale - Atalar Mahallesi,Daire | 2+1 | Çatı katı | 70 m²,10.000 TL11.500 TL
Pamukkale - Asmalıevler Mahallesi,Daire | 1+1 | 3. Kat | 53 m²,15.000 TL
Pamukkale - Kuşpınar Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,12.000 TL
Pamukkale - Kuşpınar Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,12.000 TL
Pamukkale - İncilipınar Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,13.000 TL
Pamukkale - Yunusemre Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,14.000 TL
Merkezefendi - Karaman Mahallesi,Daire | 3+1 | 2. Kat | 130 m²,11.000 TL
Pamukkale - Mehmetçik Mahallesi,Daire | 2+1 | 3. Kat | 130 m²,17.000 TL
