location,information,sales_price
Karabağlar - Sevgi Mahallesi,Daire | 2+1 | 4. Kat | 115 m²,25.000 TL
Konak - Altıntaş Mahallesi,Daire | 3+1 | 3. Kat | 135 m²,30.000 TL
Çeşme - Boyalık Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,150.000 TL
Karabağlar - Refet Bele Mahallesi,Daire | 2+1 | 3. Kat | 100 m²,18.000 TL
Konak - Kılıç Reis Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,25.000 TL
Bayraklı - Manavkuyu Mahallesi,Daire | 3+1 | 3. Kat | 110 m²,32.000 TL
Bayraklı - Osmangazi Mahallesi,Daire | 3+1 | 7. Kat | 165 m²,62.500 TL
Bayraklı - Mansuroğlu Mahallesi,Daire | 3+1 | 6. Kat | 110 m²,35.000 TL
Buca - Atatürk Mahallesi,Daire | 3+1 | 6. Kat | 140 m²,30.000 TL
Bornova - Mevlana Mahallesi,Daire | 3+1 | Yüksek giriş | 100 m²,32.000 TL
Urla - Denizli Mahallesi,Daire | 1+1 | Bahçe katı | 60 m²,35.000 TL
Bornova - Kazımdirik Mahallesi,Daire | Stüdyo | 7. Kat | 40 m²,22.000 TL
Karşıyaka - Atakent Mahallesi,Daire | 1+1 | 5. Kat | 65 m²,36.000 TL
Karşıyaka - Yalı Mahallesi,Daire | 2+1 | 4. Kat | 125 m²,52.000 TL
Bornova - Koşukavak Mahallesi,Daire | 2+1 | 19. Kat | 85 m²,30.000 TL
Gaziemir - Dokuz Eylül Mahallesi,Daire | 2+1 | Yüksek giriş | 67 m²,22.000 TL
Menderes - Kasımpaşa Mahallesi,Daire | 3+1 | 4. Kat | 165 m²,35.000 TL
Menderes - Cüneytbey Mahallesi,Daire | 2+1 | 3. Kat | 110 m²,28.000 TL
Menderes - Cüneytbey Mahallesi,Daire | 2+1 | Yüksek giriş | 95 m²,29.000 TL
Torbalı - Torbalı Mahallesi,Daire | 3+1 | 6. Kat | 140 m²,21.000 TL
Karşıyaka - Tuna Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,29.000 TL
Karşıyaka - Alaybey Mahallesi,Daire | 2+1 | 4. Kat | 85 m²,34.000 TL
Karşıyaka - Alaybey Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,23.500 TL
Karşıyaka - Tuna Mahallesi,Daire | 2+1 | 3. Kat | 85 m²,25.000 TL
Güzelbahçe - Yelki Mahallesi,Daire | 2+1 | Yüksek giriş | 90 m²,36.000 TL
Karşıyaka - Tersane Mahallesi,Daire | 3+1 | 3. Kat | 120 m²,21.000 TL
Karşıyaka - Mustafa Kemal Mahallesi,Daire | 3+1 | 2. Kat | 160 m²,49.000 TL
Urla - Kuşçular Mahallesi,Daire | 3+1 | 2. Kat | 120 m²,35.000 TL
