location,information,sales_price
Aksu - Altıntaş Mahallesi,Daire | 1+1 | 1. Kat | 54 m²,20.000 TL
Konyaaltı - Uluç Mahallesi,Daire | 3+1 | 4. Kat | 145 m²,32.000 TL
Aksu - Altıntaş Mahallesi,Daire | 1+1 | Bahçe katı | 53 m²,25.000 TL
Konyaaltı - Gürsu Mahallesi,Daire | 3+1 | 3. Kat | 130 m²,39.000 TL
Alanya - Kestel Mahallesi,Daire | 1+1 | 4. Kat | 60 m²,25.000 TL
Kepez - Varsak Karşıyaka Mahallesi,Daire | 3+1 | 3. Kat | 170 m²,24.500 TL
Alanya - Mahmutlar Mahallesi,Daire | 2+1 | 2. Kat | 110 m²,18.000 TL
Alanya - Mahmutlar Mahallesi,Daire | 2+1 | 4. Kat | 90 m²,19.000 TL
Alanya - Mahmutlar Mahallesi,Daire | 1+1 | 3. Kat | 55 m²,13.000 TL14.000 TL
Konyaaltı - Hurma Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,29.900 TL
Alanya - Güller Pınarı Mahallesi,Daire | 1+1 | Çatı katı | 105 m²,17.000 TL
Manavgat - Side Mahallesi,Daire | 2+1 | 2. Kat | 90 m²,34.000 TL
Kepez - Göçerler Mahallesi,Daire | 2+1 | 4. Kat | 95 m²,23.000 TL
Alanya - Kestel Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,25.000 TL
Konyaaltı - Liman Mahallesi,Daire | 3+1 | Çatı Dubleks | 140 m²,45.000 TL
Konyaaltı - Sarısu Mahallesi,Daire | 1+1 | 8. Kat | 55 m²,22.000 TL
Konyaaltı - Toros Mahallesi,Daire | 1+1 | 1. Kat | 60 m²,25.000 TL
Serik - Belek Mahallesi,Daire | 3+1 | Villa tipi | 130 m²,30.000 TL
Kepez - Kuzeyyaka Mahallesi,Daire | 2+1 | Yüksek giriş | 60 m²,18.000 TL
Kepez - Göksu Mahallesi,Daire | 3+1 | 10. Kat | 150 m²,22.000 TL
Konyaaltı - Sarısu Mahallesi,Daire | 1+1 | 2. Kat | 80 m²,23.000 TL
Konyaaltı - Sarısu Mahallesi,Daire | 2+1 | 8. Kat | 95 m²,25.000 TL
Alanya - Cumhuriyet Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,3.750.000 TL
Alanya - Oba Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,3.650.000 TL
Kepez - Altınova Orta Mahallesi,Daire | 2+1 | 3. Kat | 90 m²,18.000 TL
Muratpaşa - Güzeloba Mahallesi,Daire | 1+1 | Bahçe katı | 55 m²,21.000 TL
Alanya - Oba Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,20.000 TL
Manavgat - Gündoğdu Mahallesi,Daire | 2+1 | Villa tipi | 100 m²,25.000 TL
Manavgat - Hatipler Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,13.500 TL
Konyaaltı - Gürsu Mahallesi,Daire | 2+1 | 1. Kat | 120 m²,50.000 TL
Alanya - Oba Mahallesi,Daire | 1+1 | 2. Kat | 65 m²,20.000 TL
Alanya - Çıplaklı Mahallesi,Daire | 2+1 | Düz Giriş (Zemin) | 100 m²,14.000 TL
Alanya - Oba Mahallesi,Daire | 1+1 | 1. Kat | 65 m²,30.000 TL
Alanya - Oba Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,12.000 TL
Gazipaşa - Yeni Mahallesi,Daire | 2+1 | Yüksek giriş | 95 m²,13.500 TL
Alanya - Tosmur Mahallesi,Daire | 2+1 | Yüksek giriş | 95 m²,14.000 TL
Gazipaşa - Pazarcı Mahallesi,Daire | 1+1 | 1. Kat | 50 m²,13.000 TL
Alanya - Mahmutlar Mahallesi,Daire | 2+1 | 6. Kat | 105 m²,28.000 TL
Alanya - Mahmutlar Mahallesi,Daire | 2+1 | 3. Kat | 105 m²,15.000 TL
Alanya - Avsallar Mahallesi,Daire | 2+1 | 3. Kat | 70 m²,15.000 TL
Kepez - Ahatlı Mahallesi,Daire | 1+1 | 2. Kat | 50 m²,18.000 TL
Manavgat - Side Mahallesi,Daire | 2+1 | Bahçe dublex | 120 m²,30.000 TL
Konyaaltı - Hurma Mahallesi,Daire | 2+1 | 2. Kat | 100 m²,35.000 TL
Alanya - Avsallar Mahallesi,Daire | 2+1 | 1. Kat | 100 m²,18.000 TL
Alanya - Hacet Mahallesi,Daire | 2+1 | 2. Kat | 115 m²,15.000 TL
Alanya - Okurcalar Mahallesi,Daire | 1+1 | 2. Kat | 55 m²,15.000 TL
Kepez - Gazi Mahallesi,Daire | 1+1 | 1. Kat | 55 m²,16.000 TL
Kepez - Sütçüler Mahallesi,Daire | 1+1 | 2. Kat | 70 m²,16.000 TL
Muratpaşa - Konuksever Mahallesi,Daire | 2+1 | 1. Kat | 95 m²,25.500 TL
Manavgat - Side Mahallesi,Daire | 1+1 | Düz Giriş (Zemin) | 60 m²,35.000 TL
